con_id,month,year,unitsconsumed,assessment,totalcollection,category,billdate
12720036908,10,2018,105,401,0,DS1,10/1/2018
12720036908,11,2018,105,512,0,DS1,11/1/2018
12720036908,12,2018,105,409,0,DS1,12/1/2018
12720055964,1,2018,38,170,0,DS1,1/1/2018
12720055964,2,2018,NA,NA,NA,DS1,2/1/2018
12720055964,3,2018,100,263,0,DS1,3/1/2018
12720055964,4,2018,NA,NA,NA,DS1,4/1/2018
12720055964,5,2018,20,189,0,DS1,5/1/2018
12720055964,6,2018,30,143,143,DS1,6/1/2018
12720055964,7,2018,10,73,0,DS1,7/1/2018
12720055964,8,2018,NA,NA,NA,DS1,8/1/2018
12720055964,9,2018,20,106,0,DS1,9/1/2018
12720055964,10,2018,20,110,110,DS1,10/1/2018
12720055964,11,2018,5,59,0,DS1,11/1/2018
12720055964,12,2018,5,68,0,DS1,12/1/2018
12720057034,1,2018,40,164,150,DS1,1/1/2018
12720057034,2,2018,20,100,100,DS1,2/1/2018
12720057034,3,2018,40,160,0,DS1,3/1/2018
12720057034,4,2018,45,208,0,DS1,4/1/2018
12720057034,5,2018,70,113,113,DS1,5/1/2018
12720057034,6,2018,39,166,0,DS1,6/1/2018
12720057034,7,2018,50,213,0,DS1,7/1/2018
12720057034,8,2018,NA,NA,NA,DS1,8/1/2018
12720057034,9,2018,330,748,0,DS1,9/1/2018
12720057034,10,2018,55,227,0,DS1,10/1/2018
12720057034,11,2018,60,248,0,DS1,11/1/2018
12720057034,12,2018,71,285,0,DS1,12/1/2018
12720092721,1,2018,80,306,0,DS1,1/1/2018
12720092721,2,2018,80,315,315,DS1,2/1/2018
12720092721,3,2018,80,306,0,DS1,3/1/2018
12720092721,4,2018,NA,NA,NA,DS1,4/1/2018
12720092721,5,2018,210,613,0,DS1,5/1/2018
12720092721,6,2018,105,333,333,DS1,6/1/2018
12720092721,7,2018,105,308,0,DS1,7/1/2018
12720092721,8,2018,NA,NA,NA,DS1,8/1/2018
12720092721,9,2018,105,302,0,DS1,9/1/2018
12720092721,10,2018,105,315,0,DS1,10/1/2018
12720092721,11,2018,NA,NA,NA,DS1,11/1/2018
12720092721,12,2018,210,621,621,DS1,12/1/2018
10220008035,1,2018,80,432,0,DS1,1/1/2018
10220008035,2,2018,80,369,0,DS1,2/1/2018
10220008035,3,2018,80,374,0,DS1,3/1/2018
10220008035,4,2018,NA,NA,NA,DS1,4/1/2018
10220008035,5,2018,NA,NA,NA,DS1,5/1/2018
10220008035,6,2018,315,1135,0,DS1,6/1/2018
10220008035,7,2018,105,486,0,DS1,7/1/2018
10220008035,8,2018,105,396,0,DS1,8/1/2018
10220008035,9,2018,105,401,0,DS1,9/1/2018
10220008035,10,2018,105,405,0,DS1,10/1/2018
10220008035,11,2018,105,409,0,DS1,11/1/2018
10220008035,12,2018,105,414,0,DS1,12/1/2018
10220010645,1,2018,80,346,0,DS1,1/1/2018
10220010645,2,2018,80,403,0,DS1,2/1/2018
10220010645,3,2018,NA,NA,NA,DS1,3/1/2018
10220010645,4,2018,NA,NA,NA,DS1,4/1/2018
10220010645,5,2018,NA,NA,NA,DS1,5/1/2018
10220010645,6,2018,NA,NA,NA,DS1,6/1/2018
10220010645,7,2018,525,1773,0,DS1,7/1/2018
10220010645,8,2018,NA,NA,NA,DS1,8/1/2018
10220010645,9,2018,210,754,0,DS1,9/1/2018
10220010645,10,2018,105,474,0,DS1,10/1/2018
10220010645,11,2018,105,483,0,DS1,11/1/2018
10220010645,12,2018,105,492,0,DS1,12/1/2018
10220087873,1,2018,0,174,0,DS1,1/1/2018
10220087873,2,2018,105,426,0,DS1,2/1/2018
10220087873,3,2018,2,102,0,DS1,3/1/2018
10220087873,4,2018,NA,NA,NA,DS1,4/1/2018
10220087873,5,2018,NA,NA,NA,DS1,5/1/2018
10220087873,6,2018,NA,NA,NA,DS1,6/1/2018
